tile_index,jis_code,unicode,character,file_offset
327,0x334E,U+78BA,確,0x22084
328,0x334F,U+7A6B,穫,0x220C4
329,0x3350,U+899A,覚,0x22104
330,0x3351,U+89D2,角,0x22144
331,0x3352,U+8D6B,赫,0x22184
332,0x3353,U+8F03,較,0x221C4
333,0x3354,U+90ED,郭,0x22204
334,0x3355,U+95A3,閣,0x22244
335,0x3356,U+9694,隔,0x22284
336,0x3357,U+9769,革,0x222C4
337,0x3358,U+5B66,学,0x22304
338,0x3359,U+5CB3,岳,0x22344
339,0x335A,U+697D,楽,0x22384
340,0x335B,U+984D,額,0x223C4
341,0x335C,U+984E,顎,0x22404
342,0x335D,U+639B,掛,0x22444
343,0x335E,U+7B20,笠,0x22484
344,0x335F,U+6A2B,樫,0x224C4
345,0x3360,U+6A7F,橿,0x22504
346,0x3361,U+68B6,梶,0x22544
347,0x3362,U+9C0D,鰍,0x22584
348,0x3363,U+6F5F,潟,0x225C4
349,0x3364,U+5272,割,0x22604
350,0x3365,U+559D,喝,0x22644
351,0x3366,U+6070,恰,0x22684
352,0x3367,U+62EC,括,0x226C4
353,0x3368,U+6D3B,活,0x22704
354,0x3369,U+6E07,渇,0x22744
355,0x336A,U+6ED1,滑,0x22784
356,0x336B,U+845B,葛,0x227C4
357,0x336C,U+8910,褐,0x22804
358,0x336D,U+8F44,轄,0x22844
359,0x336E,U+4E14,且,0x22884
360,0x336F,U+9C39,鰹,0x228C4
361,0x3370,U+53F6,叶,0x22904
362,0x3371,U+691B,椛,0x22944
363,0x3372,U+6A3A,樺,0x22984
364,0x3373,U+9784,鞄,0x229C4
365,0x3374,U+682A,株,0x22A04
366,0x3375,U+515C,兜,0x22A44
367,0x3376,U+7AC3,竃,0x22A84
368,0x3377,U+84B2,蒲,0x22AC4
369,0x3378,U+91DC,釜,0x22B04
370,0x3379,U+938C,鎌,0x22B44
371,0x337A,U+565B,噛,0x22B84
372,0x337B,U+9D28,鴨,0x22BC4
373,0x337C,U+6822,栢,0x22C04
374,0x337D,U+8305,茅,0x22C44
375,0x337E,U+8431,萱,0x22C84
376,0x3421,U+7CA5,粥,0x22CC4
377,0x3422,U+5208,刈,0x22D04
378,0x3423,U+82C5,苅,0x22D44
379,0x3424,U+74E6,瓦,0x22D84
380,0x3425,U+4E7E,乾,0x22DC4
381,0x3426,U+4F83,侃,0x22E04
382,0x3427,U+51A0,冠,0x22E44
383,0x3428,U+5BD2,寒,0x22E84
384,0x3429,U+520A,刊,0x22EC4
385,0x342A,U+52D8,勘,0x22F04
386,0x342B,U+52E7,勧,0x22F44
387,0x342C,U+5DFB,巻,0x22F84
388,0x342D,U+559A,喚,0x22FC4
389,0x342E,U+582A,堪,0x23004
390,0x342F,U+59E6,姦,0x23044
391,0x3430,U+5B8C,完,0x23084
392,0x3431,U+5B98,官,0x230C4
393,0x3432,U+5BDB,寛,0x23104
394,0x3433,U+5E72,干,0x23144
395,0x3434,U+5E79,幹,0x23184
396,0x3435,U+60A3,患,0x231C4
397,0x3436,U+611F,感,0x23204
398,0x3437,U+6163,慣,0x23244
399,0x3438,U+61BE,憾,0x23284
400,0x3439,U+63DB,換,0x232C4
401,0x343A,U+6562,敢,0x23304
402,0x343B,U+67D1,柑,0x23344
403,0x343C,U+6853,桓,0x23384
404,0x343D,U+68FA,棺,0x233C4
405,0x343E,U+6B3E,款,0x23404
406,0x343F,U+6B53,歓,0x23444
407,0x3440,U+6C57,汗,0x23484
408,0x3441,U+6F22,漢,0x234C4
409,0x3442,U+6F97,澗,0x23504
410,0x3443,U+6F45,潅,0x23544
411,0x3444,U+74B0,環,0x23584
412,0x3445,U+7518,甘,0x235C4
413,0x3446,U+76E3,監,0x23604
414,0x3447,U+770B,看,0x23644
