order,korean,unicode,sjis_code,replaced_kanji,glyph_index,byte_offset
271,끄,U+B044,0x9B42,妝,6785,0x5462C
272,끅,U+B045,0x9B43,佞,6786,0x54668
273,끈,U+B048,0x9B44,侫,6787,0x546A4
274,끊,U+B04A,0x9B45,妣,6788,0x546E0
275,끌,U+B04C,0x9B46,妲,6789,0x5471C
276,끎,U+B04E,0x9B47,姆,6790,0x54758
277,끓,U+B053,0x9B48,姨,6791,0x54794
278,끔,U+B054,0x9B49,姜,6792,0x547D0
279,끕,U+B055,0x9B4A,妍,6793,0x5480C
280,끗,U+B057,0x9B4B,姙,6794,0x54848
281,끙,U+B059,0x9B4C,姚,6795,0x54884
282,끝,U+B05D,0x9B4D,娥,6796,0x548C0
283,끼,U+B07C,0x9B4F,娑,6798,0x54934
284,끽,U+B07D,0x9B50,娜,6799,0x54970
285,낀,U+B080,0x9B51,娉,6800,0x549AC
286,낄,U+B084,0x9B53,婀,6802,0x54A20
287,낌,U+B08C,0x9B54,婬,6803,0x54A5C
288,낍,U+B08D,0x9B55,婉,6804,0x54A98
289,낏,U+B08F,0x9B56,娵,6805,0x54AD4
290,낑,U+B091,0x9B57,娶,6806,0x54B10
291,나,U+B098,0x9B58,婢,6807,0x54B4C
292,낙,U+B099,0x9B59,婪,6808,0x54B88
293,낚,U+B09A,0x9B5B,媼,6810,0x54BFC
294,난,U+B09C,0x9B5C,媾,6811,0x54C38
295,낟,U+B09F,0x9B5F,媽,6814,0x54CE4
296,날,U+B0A0,0x9B60,嫣,6815,0x54D20
297,낡,U+B0A1,0x9B61,嫗,6816,0x54D5C
298,낢,U+B0A2,0x9B63,嫩,6818,0x54DD0
299,남,U+B0A8,0x9B64,嫖,6819,0x54E0C
300,납,U+B0A9,0x9B68,嬋,6823,0x54EF0
301,낫,U+B0AB,0x9B69,嬖,6824,0x54F2C
302,났,U+B0AC,0x9B6A,嬲,6825,0x54F68
303,낭,U+B0AD,0x9B6B,嫐,6826,0x54FA4
304,낮,U+B0AE,0x9B6C,嬪,6827,0x54FE0
305,낯,U+B0AF,0x9B6D,嬶,6828,0x5501C
306,낱,U+B0B1,0x9B6E,嬾,6829,0x55058
307,낳,U+B0B3,0x9B6F,孃,6830,0x55094
308,내,U+B0B4,0x9B77,孩,6838,0x55258
309,낵,U+B0B5,0x9B78,孰,6839,0x55294
310,낸,U+B0B8,0x9B7A,孵,6841,0x55308
311,낼,U+B0BC,0x9B7B,學,6842,0x55344
312,냄,U+B0C4,0x9B7D,孺,6844,0x553B8
313,냅,U+B0C5,0x9B83,寃,6850,0x554E8
314,냇,U+B0C7,0x9B84,寇,6851,0x55524
315,냈,U+B0C8,0x9B91,尅,6864,0x55800
316,냉,U+B0C9,0x9B92,將,6865,0x5583C
317,냐,U+B0D0,0x9B93,專,6866,0x55878
318,냑,U+B0D1,0x9B94,對,6867,0x558B4
319,냔,U+B0D4,0x9B96,尠,6869,0x55928
320,냘,U+B0D8,0x9B97,尢,6870,0x55964
321,냠,U+B0E0,0x9B98,尨,6871,0x559A0
322,냥,U+B0E5,0x9B9B,屁,6874,0x55A4C
323,너,U+B108,0x9BA4,乢,6883,0x55C48
324,넉,U+B109,0x9BA6,屹,6885,0x55CBC
325,넋,U+B10B,0x9BAA,妛,6889,0x55DA0
326,넌,U+B10C,0x9BAC,岻,6891,0x55E14
327,널,U+B110,0x9BAE,岼,6893,0x55E88
328,넒,U+B112,0x9BAF,岷,6894,0x55EC4
329,넓,U+B113,0x9BB1,岾,6896,0x55F38
330,넘,U+B118,0x9BB2,峇,6897,0x55F74
331,넙,U+B119,0x9BB3,峙,6898,0x55FB0
332,넛,U+B11B,0x9BB4,峩,6899,0x55FEC
333,넜,U+B11C,0x9BB6,峺,6901,0x56060
334,넝,U+B11D,0x9BB8,嶌,6903,0x560D4
335,넣,U+B123,0x9BB9,峪,6904,0x56110
336,네,U+B124,0x9BBB,崕,6906,0x56184
337,넥,U+B125,0x9BC0,崑,6911,0x562A0
338,넨,U+B128,0x9BC2,崢,6913,0x56314
339,넬,U+B12C,0x9BC3,崚,6914,0x56350
340,넴,U+B134,0x9BC4,崙,6915,0x5638C
341,넵,U+B135,0x9BCD,嶇,6924,0x56588
342,넷,U+B137,0x9BCE,嶄,6925,0x565C4
343,넸,U+B138,0x9BCF,嶂,6926,0x56600
344,넹,U+B139,0x9BD0,嶢,6927,0x5663C
345,녀,U+B140,0x9BD2,嶬,6929,0x566B0
346,녁,U+B141,0x9BD7,嶼,6934,0x567CC
347,년,U+B144,0x9BD9,巍,6936,0x56840
348,녈,U+B148,0x9BDE,巫,6941,0x5695C
349,념,U+B150,0x9BDF,已,6942,0x56998
350,녑,U+B151,0x9BE0,巵,6943,0x569D4
351,녔,U+B154,0x9BE2,帚,6945,0x56A48
352,녕,U+B155,0x9BE3,帙,6946,0x56A84
353,녘,U+B158,0x9BE6,帶,6949,0x56B30
354,녜,U+B15C,0x9BE7,帷,6950,0x56B6C
355,녠,U+B160,0x9BE8,幄,6951,0x56BA8
356,노,U+B178,0x9BE9,幃,6952,0x56BE4
357,녹,U+B179,0x9BEB,幎,6954,0x56C58
358,논,U+B17C,0x9BEE,幟,6957,0x56D04
359,놀,U+B180,0x9BEF,幢,6958,0x56D40
360,놂,U+B182,0x9BF0,幤,6959,0x56D7C
361,놈,U+B188,0x9BF1,幇,6960,0x56DB8
362,놉,U+B189,0x9BF2,幵,6961,0x56DF4
363,놋,U+B18B,0x9BF5,麼,6964,0x56EA0
364,농,U+B18D,0x9BFB,廐,6970,0x56FF4
365,높,U+B192,0x9BFC,廏,6971,0x57030
366,놓,U+B193,0x9C40,廖,7039,0x575A0
367,놔,U+B194,0x9C41,廣,7040,0x575DC
368,놘,U+B198,0x9C43,廚,7042,0x57650
369,놜,U+B19C,0x9C44,廛,7043,0x5768C
370,놨,U+B1A8,0x9C46,廡,7045,0x57700
371,뇌,U+B1CC,0x9C47,廨,7046,0x5773C
372,뇐,U+B1D0,0x9C48,廩,7047,0x57778
373,뇔,U+B1D4,0x9C49,廬,7048,0x577B4
374,뇜,U+B1DC,0x9C4A,廱,7049,0x577F0
375,뇝,U+B1DD,0x9C4B,廳,7050,0x5782C
376,뇟,U+B1DF,0x9C4C,廰,7051,0x57868
377,뇨,U+B1E8,0x9C4D,廴,7052,0x578A4
378,뇩,U+B1E9,0x9C4F,廾,7054,0x57918
379,뇬,U+B1EC,0x9C54,弋,7059,0x57A34
380,뇰,U+B1F0,0x9C55,弑,7060,0x57A70
381,뇹,U+B1F9,0x9C56,弖,7061,0x57AAC
382,뇻,U+B1FB,0x9C58,弭,7063,0x57B20
383,뇽,U+B1FD,0x9C5A,彁,7065,0x57B94
384,누,U+B204,0x9C5B,彈,7066,0x57BD0
385,눅,U+B205,0x9C61,彗,7072,0x57D24
386,눈,U+B208,0x9C66,彷,7077,0x57E30
387,눋,U+B20B,0x9C67,徃,7078,0x57E6C
388,눌,U+B20C,0x9C68,徂,7079,0x57EA8
389,눔,U+B214,0x9C6C,徑,7083,0x57F8C
390,눕,U+B215,0x9C6E,從,7085,0x58000
391,눗,U+B217,0x9C6F,徙,7086,0x5803C
392,눙,U+B219,0x9C70,徘,7087,0x58078
393,눠,U+B220,0x9C71,徠,7088,0x580B4
394,눴,U+B234,0x9C72,徨,7089,0x580F0
395,눼,U+B23C,0x9C73,徭,7090,0x5812C
396,뉘,U+B258,0x9C74,徼,7091,0x58168
397,뉜,U+B25C,0x9C75,忖,7092,0x581A4
398,뉠,U+B260,0x9C76,忻,7093,0x581E0
399,뉨,U+B268,0x9C77,忤,7094,0x5821C
400,뉩,U+B269,0x9C78,忸,7095,0x58258
401,뉴,U+B274,0x9C79,忱,7096,0x58294
402,뉵,U+B275,0x9C7C,忿,7099,0x58340
403,뉼,U+B27C,0x9C7E,恠,7101,0x583B4
404,늄,U+B284,0x9C80,怙,7103,0x58404
405,늅,U+B285,0x9C82,怩,7105,0x58478
406,늉,U+B289,0x9C85,怛,7108,0x58524
407,느,U+B290,0x9C87,怫,7110,0x58598
408,늑,U+B291,0x9C88,怦,7111,0x585D4
409,는,U+B294,0x9C89,怏,7112,0x58610
410,늘,U+B298,0x9C8A,怺,7113,0x5864C
411,늙,U+B299,0x9C8C,恁,7115,0x586C0
412,늚,U+B29A,0x9C8D,恪,7116,0x586FC
413,늠,U+B2A0,0x9C90,恊,7119,0x587A8
414,늡,U+B2A1,0x9C91,恆,7120,0x587E4
415,늣,U+B2A3,0x9C92,恍,7121,0x58820
416,능,U+B2A5,0x9C94,恃,7123,0x58894
417,늦,U+B2A6,0x9C95,恤,7124,0x588D0
418,늪,U+B2AA,0x9C97,恬,7126,0x58944
419,늬,U+B2AC,0x9C9B,悍,7130,0x58A28
420,늰,U+B2B0,0x9C9C,惧,7131,0x58A64
421,늴,U+B2B4,0x9CA0,悛,7135,0x58B48
422,니,U+B2C8,0x9CA1,悖,7136,0x58B84
423,닉,U+B2C9,0x9CA2,悗,7137,0x58BC0
424,닌,U+B2CC,0x9CA3,悒,7138,0x58BFC
425,닐,U+B2D0,0x9CA5,悋,7140,0x58C70
426,닒,U+B2D2,0x9CA6,惡,7141,0x58CAC
427,님,U+B2D8,0x9CA8,惠,7143,0x58D20
428,닙,U+B2D9,0x9CA9,惓,7144,0x58D5C
429,닛,U+B2DB,0x9CAA,悴,7145,0x58D98
430,닝,U+B2DD,0x9CAB,忰,7146,0x58DD4
431,닢,U+B2E2,0x9CAC,悽,7147,0x58E10
432,다,U+B2E4,0x9CB0,慍,7151,0x58EF4
433,닥,U+B2E5,0x9CB1,愕,7152,0x58F30
434,닦,U+B2E6,0x9CB3,惶,7154,0x58FA4
435,단,U+B2E8,0x9CB5,愀,7156,0x59018
436,닫,U+B2EB,0x9CB6,惴,7157,0x59054
437,달,U+B2EC,0x9CB7,惺,7158,0x59090
438,닭,U+B2ED,0x9CB8,愃,7159,0x590CC
439,닮,U+B2EE,0x9CB9,愡,7160,0x59108
440,닯,U+B2EF,0x9CBD,愎,7164,0x591EC
441,닳,U+B2F3,0x9CBE,慇,7165,0x59228
442,담,U+B2F4,0x9CBF,愾,7166,0x59264
443,답,U+B2F5,0x9CC0,愨,7167,0x592A0
444,닷,U+B2F7,0x9CC1,愧,7168,0x592DC
445,닸,U+B2F8,0x9CC2,慊,7169,0x59318
446,당,U+B2F9,0x9CC4,愼,7171,0x5938C
447,닺,U+B2FA,0x9CC7,愽,7174,0x59438
448,닻,U+B2FB,0x9CC9,慄,7176,0x594AC
449,닿,U+B2FF,0x9CCA,慳,7177,0x594E8
450,대,U+B300,0x9CCB,慷,7178,0x59524
451,댁,U+B301,0x9CCE,慚,7181,0x595D0
452,댄,U+B304,0x9CCF,慫,7182,0x5960C
453,댈,U+B308,0x9CD1,慯,7184,0x59680
454,댐,U+B310,0x9CD2,慥,7185,0x596BC
455,댑,U+B311,0x9CD3,慱,7186,0x596F8
456,댓,U+B313,0x9CD6,慓,7189,0x597A4
457,댔,U+B314,0x9CD7,慵,7190,0x597E0
458,댕,U+B315,0x9CD8,憙,7191,0x5981C
459,댜,U+B31C,0x9CDB,憬,7194,0x598C8
460,더,U+B354,0x9CDC,憔,7195,0x59904
461,덕,U+B355,0x9CDD,憚,7196,0x59940
462,덖,U+B356,0x9CE1,憮,7200,0x59A24
